Item,Pronunciation,Explanation,Examples,Illustration,Level,LastUpdateDate 11/04/2024,Words reviewed on the day: 6

This would have been considered unthinkable only a decade ago. 




















































It was unthinkable that she could be dead. 




















































It's unthinkable for something like this to happen. 




















































This course of action would have been unthinkable to the Russian generals.",https://www.google.com/search?q=?&tbm=isch,9,,

concerto,/kənˈtʃeətəʊ/,n. a piece of music for one or more solo instruments playing with an orchestra 协奏曲,"a piano concerto 


















a concerto for flute and harp",https://www.google.com/search?q=concerto&tbm=isch,9,,

conscientious,/ˌkɒnʃiˈenʃəs/,adj. taking care to do things carefully and correctly,She was a popular and conscientious teacher.,https://www.google.com/search?q=?&tbm=isch,9,,

consist in,/kənˈsɪst/,(formal) to have sth as the main or only part or feature,"The beauty of the city consists in its magnificent buildings. 




















































True education does not consist in simply being taught facts. 




















































The considerable advantages offered by the combination of rTMS and fMRI consist in the possibility of assessing with a whole-brain measure the effects of a focal modulation of brain activity.",https://www.google.com/search?q=?&tbm=isch,9,,

"conspicuous, conspicuously","/kənˈspɪkjuəs/, /kənˈspɪkjuəsli/","conspicuous adj. easy to see or notice; likely to attract attention 

conspicuously adv. in a way that is easy to see or notice, or that is likely to attract attention","Mary's red hair always made her conspicuous at school. 
I felt very conspicuous in my new car. 
The advertisements were all posted in a conspicuous place. 
The event was a conspicuous success (= a very great one). 
Bay windows are a conspicuous feature of his architecture. 
Women were conspicuously absent from the planning committee (= not present on it, when they should have been). 
Synaptic plasticity is conspicuously dependent on the temporal order of the pre- and postsynaptic activity. (Wolters et al., 2003) 
It is thus not surprising that changes in synaptic strength and the number of glutamate receptors often accompany morphological plasticity; notably, the changes in spine shape are highly conspicuous and readily imaged using fluorescent reporters. (Vitureira & Goda, 2013)",https://www.google.com/search?q=?&tbm=isch,9,,

constituent,/kənˈstɪtʃuənt/,"n. 1. a person who lives in and can vote in a constituency （选区的）选民，选举人































































2. one of the parts of sth that combine to form the whole 































































adj. [only before noun] forming or helping to make a whole","Tar 尼古丁 is a harmful constituent of tobacco smoke. 































































Vitamins are natural food constituents which are essential in helping to maintain good health. 































































to break something up into its constituent parts/elements 































































the constituent minerals of the rock",https://www.google.com/search?q=?&tbm=isch,9,,

contempt,/kənˈtempt/,"n. 1. the feeling that sb/sth is without value and deserves no respect at all 































































2. (for) a lack of worry or fear about rules, danger, etc. 































































3. (also contempt of court) the crime of refusing to obey an order made by a court; not showing respect for a court or judge","She looked at him with contempt. 































































I shall treat that suggestion with the contempt it deserves. 































































His treatment of his children is beneath contempt (= so bad that it is not even worth feeling contempt for). 































































Politicians seem to be generally held in contempt by ordinary people. 































































They had shown a contempt for the values she thought important. 































































The firefighters showed a contempt for their own safety. 































































His remarks betray a staggering contempt for the truth (= are completely false). 































































He could be jailed for two years for contempt. 































































She was held in contempt for refusing to testify.",https://www.google.com/search?q=?&tbm=isch,9,,

contend,/kənˈtend/,"v. 1. [transitive] (formal) maintain; to say that sth is true, especially in an argument 





















































2. [intransitive] (for) to compete against sb in order to gain sth","I would contend that the minister's thinking is flawed on this point. 





















































Three armed groups were contending for power.",https://www.google.com/search?q=?&tbm=isch,9,,

contend with,/kənˈtend/,to have to deal with a problem or with a difficult situation or person,Nurses often have to contend with violent or drunken patients.,https://www.google.com/search?q=?&tbm=isch,9,,

convolution,/ˌkɒnvəˈluːʃn/,"n. [usually plural] 1. a thing that is very complicated and difficult to follow































































2. a twist or curve, especially one of many","the bizarre convolutions of the story 































































the convolutions of the brain",https://www.google.com/search?q=?&tbm=isch,9,,

corollary,/kəˈrɒləri/,"n. (formal or specialist) (of/to) a situation, an argument or a fact that is the natural and direct result of another one","In rural areas, the corollary of increased car ownership has been a rapid decline in the provision of public transport. 




























It can be proven that most claimed research findings are false. Here I will examine the key factors that influence this problem and some corollaries thereof. (Ioannidis, 2005) 




























It is now widely accepted that movement programming is associated with the formation of an internal representation of the movement (i.e. efference copy) and the corresponding predicted sensory consequences (i.e. corollary discharge) via an internal model—a mental simulation of the planned action (Niechwiej-Szwedo et al., 2023).",https://www.google.com/search?q=?&tbm=isch,9,,

deciduous,/dɪˈsɪdʒuəs/,"adj. (of a tree, bush etc.) that loses its leaves every year 

OPPOSITE: evergreen","Forsythia×intermedia, commonly known as border forsythia /fɔːˈsaɪθiə/, is a deciduous hybrid shrub with 'upright-arching to spreading, often square-stemmed branches.",https://www.google.com/search?q=deciduous&tbm=isch,13,,

decisive,/dɪˈsaɪsɪv/,"adj. 1. very important for the final result of a particular situation 



















































2. able to decide sth quickly and with confidence","Climate was a decisive factor in establishing where the tournament should be held. 



















































She has played a decisive role in the peace negotiations. 



















































a decisive step (=an important action that will change a situation) towards a cleaner environment 



















































decisive management 



















































The government must take decisive action on gun control.",https://www.google.com/search?q=?&tbm=isch,9,,

declarative,/dɪˈklærətɪv/,"adj. 1. of the nature of or making a declaration 































































2.  (of a sentence or phrase) taking the form of a simple statement 































































3. denoting high-level programming languages which can be used to solve problems without requiring the programmer to specify an exact procedure to be followed",declarative statements,https://www.google.com/search?q=?&tbm=isch,9,,

deconvolution,/ˌdiːkɒnvəˈluːʃ(ə)n/,"n. [mass noun] 1. a process of resolving sth into its constituent elements or removing complication



















































2. using an algorithm to improve the resolution of images","The editor helped in the deconvolution of phrase and thought. 



















































Wiener deconvolution may be effective in diminishing the hemodynamically imposed temporal blurring and may have potential applications in quantitating responses in event-related fMRI.",https://www.google.com/search?q=deconvolution&tbm=isch,16,,

decor,/ˈdeɪkɔː(r)/,"n. [uncountable, countable, usually singular] the style in which the inside of a building is decorated","interior decor 


































the restaurant’s elegant new decor 


































Choosing the furniture and decor for their new home was an exciting project.",https://www.google.com/search?q=decor&tbm=isch,9,,

gait,/ɡeɪt/,n. [usually singular] a way of walking or running,"He walked with a rolling gait. 



























Visuomotor deficits are apparent in a whole variety of real-world tasks, including tasks conducted with the hand (e.g., fine motor control tasks, reach-to-touch movements, learning to catch a ball) and during whole-body movement, for example, during gait and obstacle avoidance. (Buckley et al., 2015)",https://www.google.com/search?q=gait&tbm=isch,9,,

hamper,/ˈhæmpə(r)/,"v. [transitive] hinder; to prevent sb from easily doing or achieving sth 








































n. 1. a large basket with a lid (= cover), especially one used to carry food in 








































2. a box or package containing food, sent as a gift 








































3. a large basket that you keep your dirty clothes in until they are washed","High winds hampered the rescue attempt. 








































Our efforts were severely hampered by a lack of money. 








































Standard two-electrode tES is still hampered by the relatively low reliability and predictability of the therapeutic and behavioral effects. Targeted, subject-specific, multi-electrode tES of the brain may overcome this difficult. (Sabel et al., 2020) 








































a picnic hamper 








































a Christmas hamper",https://www.google.com/search?q=hamper&tbm=isch,9,,

"parallelepiped, parallelogram","/ˌpærəleləˈpaɪped/, /ˌpærəˈleləɡræm/","parallelepiped n. (geometry) a solid body of which each face is a parallelogram 平行六面体



























































































parallelogram n. (geometry) a flat shape with four straight sides, the opposite sides being the same distance apart at every point and equal to each other 平行四边形",Examples,https://www.google.com/search?q=parallelepiped&tbm=isch,9,,

plaid,/plæd/,"1. [uncountable] a type of thick cloth with a pattern of lines and squares of different colours and widths, especially a tartan pattern
























































2. [countable] a long piece of plaid made of wool, worn over the shoulders as part of the Scottish national dress",Examples,https://www.google.ca/search?q=plaid&tbm=isch,16,,

"stratum, strata","/ˈstrɑːtəm/, /ˈstrɑːtə/","n. 1. (geology) a layer or set of layers of rock, earth, etc. 






































2. a thin layer within any structure






































3. a level or class to which people are assigned according to their social status, education, or income 






































4. (statistics) a group into which members of a population are divided in stratified sampling","limestone 石灰岩 strata 






































Excavated coins can often be dated from other objects in the same stratum. 






































thin strata of air 






































people from all social strata 






































allocation of sample units to strata",https://www.google.com/search?q=?&tbm=isch,9,,

workmanship,/ˈwɜːkmənʃɪp/,"n. the skill with which somebody makes something, especially when this affects the way it looks or works","Our buyers insist on high standards of workmanship and materials. 































































The sword is a fine example of Celtic workmanship. 































































I was admiring the exquisite workmanship in the mosaic.",https://www.google.com/search?q=?&tbm=isch,9,,

